"paperName","researcher","journal","citations","year"
"THE CLASSIC: Molecular Structure of Nucleic Acids: A Structure for Deoxyribose Nucleic Acid","JD Watson, FHC Crick","Clinical Orthopaedics and Related Research® 462, 3-5, 2007","8","2007"
"Data and econometric tools for development economics","A Deaton","Forthcoming in The Handbook of Development Economics 3, 1993","8","1993"
"Quality, quantity, and spatial variation of price: estimating price elasticities from cross-sectional data","A Deaton","World Bank, 1988","8","1988"
"pÇÅÇÄvpÜv hÅqv 8ÇÅÜàÄrÖv 7ruhâvÇÖ, Cambridge, New York, Port Chester, Melbourne and Sydney","A Deaton, J Muellbauer","Cambridge University Press, 1980","8","1980"
"The design and content of household surveys","A Deaton","","7","2019"
"Nutrition, children, and intrahousehold allocation","A Deaton","","7","2019"
"Reflections on Randomized Control Trials.","A Deaton, N Cartwright","Social science and medicine. 210, 86-90, 2018","7","2018"
"Grandpa and the snapper: the wellbeing of the elderly who live with children","A Deaton, AA Stone","National Bureau of Economic Research, 2013","7","2013"
"Letter from America: random walks by young economists","A Deaton","RES Newsletter, 2007","7","2007"
"Measuring consumption and price in LSMS surveys","A Deaton, EV Edmonds","Research Program in Development Studies, Princeton University, Princeton, NJ …, 1996","7","1996"
"Quality, quantity, and spatial variation of price: estimating price elasticities from cross-sectional data","A Deaton","LSMS working paper (USA), 1987","7","1987"
"Demand analysis, in"" Handbook of Econometrics""(Z. Griliches and MD Intriligator, Eds.)","A Deaton","North-Holland, New York, 1986","7","1986"
"Does it Make Sense to Collect Panel Data for Developing Countries","O Ashenfelter, A Deaton, G Solon","Woodrow Wilson School, Princeton University, 1985","7","1985"
"Unwinding inequality","A Deaton","Harvard Business Review 91 (12), 42-42, 2013","6","2013"
"Using unit-values to assess spatial price differences: evidence from India and Brazil","A Deaton, O Dupriez","ICP Technical Advisory Group Meeting in Washington DC, 2011","6","2011"
"Mesurer le développement: autres données, autres conclusions?","A Deaton","Revue d'économie du développement 19 (2), 13-59, 2011","6","2011"
"Income, Aging, Health, and Well-Being around the World","A Deaton","Research Findings in the Economics of Aging, 235, 2010","6","2010"
"Handbook of development economics","MA Kose, E Prasad, K Rogoff, SJ Wei, D Rodrik, MR Rosenzweig","Financial globalization and economic policies 5, 4283-4359, 2010","6","2010"
"Global poverty and global price indexes","A Deaton, O Dupriez","World Bank, Washington, DC, and Princeton University, Princeton, NJ. http …, 2009","6","2009"
"Empirical and Mathematical Reasoning 20: The Business and Politics of Health","DM Cutler, A Deaton, A Lleras-Muney","Context 27 (4), 933-936, 2008","6","2008"
"Some remarks on randomization, econometrics and data","A Deaton","Evaluating Development Effectiveness 7, 263, 2005","6","2005"
"New Approaches to Household Survey Data from Developing Countries","A Deaton","Princeton, Woodrow Wilson School-Development Studies Papers, 1988","6","1988"
"Chapter 30 demand analysis. Volume 3 of Handbook of Econometrics","A Deaton","Elsevier, 1986","6","1986"
"Econometric issues for survey data","A Deaton","","5","2019"
"The limitations of randomised controlled trials.","A Deaton, N Cartwright","VOX, CEPR policy portal., 2016","5","2016"
"What's going on in India?","A Deaton","The Lancet 382 (9897), 1015-1016, 2013","5","2013"
"Health, inequality, and economic development, Princeton University","A Deaton","Center for health and well-being, processed, and Cambridge, MA, NBER Working …, 2001","5","2001"
"Diseño de cuestionarios de encuestas del hogar para los países en vías de desarrollo: lecciones de diez años de experiencia con las EMNV: capítulo 17: Consumo","AS Deaton, ME Grosh","En: Tercer Taller Regional sobre Medición del Gasto en las Encuestas de …, 1999","5","1999"
"Hart, 0., and Moore","P Aghion","J, 1992","5","1992"
"Price elasticities from survey data: extensions and Indonesian results","A Deaton","Issues in Contemporary Economics, 253-283, 1991","5","1991"
"Agricultural pricing policies and demand patterns in thailand","A Deaton","Research Program in Development Studies, Woodrow Wilson School, Princeton …, 1988","5","1988"
"Demand Analysis, Ch. 30 in: Z. Griliches and MD Intriligator, eds., Handbook of Econometrics, Vol. 3","A Deaton","Amsterdam: North-Holland, 1986","5","1986"
"It’s not just unfair: Inequality is a threat to our governance","A Deaton","The New York Times, 2017","4","2017"
"The Threat of Inequality","A Deaton","Scientific American 315 (3), 48-53, 2016","4","2016"
"Stone, John Richard Nicholas (1913–1991)","A Deaton","The New Palgrave Dictionary of Economics: Volume 1–8, 6373-6377, 2008","4","2008"
"Height, health, and development: why are Africans so tall","A Deaton","Center for Health, 2006","4","2006"
"Relative deprivation, income inequality and mortality","A Deaton","Working, 2001","4","2001"
"Directrices para construir agregados de consumo a efectos del analisis del bienestar","A Deaton, S Zaidi, B MUNDIAL","este mismo volumen, 1999","4","1999"
"Housing, land prices, and the link between growth and saving","A Deaton, G Laroque","Research program in Development Studies, Center of International Studies …, 1998","4","1998"
"Commodity prices and macroeconomic management in Africa","A Deaton, RI Miller","Institute for Policy Reform, 1993","4","1993"
"Saving, growth, and aging in Taiwan","CH Paxson, A Deaton","National Bureau of Economic Research, 1993","4","1993"
"The World Bank Economic Review","L Demery, C Grootaert, D Benjamin, A Deaton, MM Pitt, MR Rosenzweig, ...","","4","1993"
"Household behavior in developing countries","A Deaton","Economic Growth Center, Yale University, 1988","4","1988"
"Analyzing the Food-shares in a Household Survey","A Deaton, C Yates","Living Standards Measurement Study, World Bank, 1980","4","1980"
"Muellbauer,(1980): Economics and Consumer Behaoi0ur","A Deaton","Cambridge University Press, Cambridge, 0","4",""
"Saving and consumption smoothing","A Deaton","","3","2019"
"Welfare, poverty, and distribution","A Deaton","","3","2019"
"Mortality and morbidity in the 21st century POST-CONFERENCE VERSION","A Case, A Deaton","Brookings Papers on Economic Activity, 2017","3","2017"
"The Great Escape: Health, Wealth, and the Origins of Inequality","W McGreevey","Population and Development Review 39 (4), 717-721, 2013","3","2013"
"Introduction: Reshaping the world","AS Deaton","","3","2013"
"2 Through the Darkness to a Brighter Future","A Deaton","In 100 Years: Leading Economists Predict the Future, 41, 2013","3","2013"
"Comment on"" Work Disability, Work, and Justification Bias in Europe and the US""","A Deaton","Explorations in the Economics of Aging, 312-314, 2011","3","2011"
"In pursuit of happiness","A Deaton","The Lancet 376 (9754), 1729, 2010","3","2010"
"Nutrition in India: Facts and Interpretations","J Dreze, A Deaton","RPDS Working Papers, 2008","3","2008"
"Franco Modigliani E La Teoria Del Ciclo Vitale Del Consumo (Franco Modigliani and the Theory of the Life Cycle Consumption)","A Deaton","Moneta e Credito 58 (230-231), 97-115, 2005","3","2005"
"Intrahousehold Resource Allocation in Côte d’Ivoire","E Duflo, C Udry, A Deaton, S Khan, E Ligon, E Saez","Social Norms, Separate Accounts and Consumption Choices.” National Bureau of …, 2003","3","2003"
"Directrices para construir agregados de consumo para analizar el bienestar","A Deaton, S Zaidi","Banco Mundial, 2002","3","2002"
"Mortality, Education, Income, and Inequality among American Cohorts","C Paxson, A Deaton","National Bureau of Economic Research, 1999","3","1999"
"School quality and educational outcomes in South Africa","A Deaton, A Case","Princeton, Woodrow Wilson School-Development Studies Papers, 1998","3","1998"
"The intertemporal allocation of consumption: theory and evidence. A comment","A Deaton","Carnegie-Rochester Conference Series on Public Policy 42 (1995), 91-94, 1995","3","1995"
"Data and econometric tools for development analysis. Chapter 23 in Handbook of Development Economics, Volume III, eds. J. Behrman and TN Srinivasan","A Deaton","Amsterdam: Elsevier Press, 1995","3","1995"
"Data and Econometric Tools for Development Analysis","A Deaton","Princeton Univ., 1994","3","1994"
"African economic and financial data","A Deaton, R Anand, S van Wijnbergen, TN Srinivasan, J van der Gaag, ...","The World Bank, 1989","3","1989"
"Is Consumption Too Smooth?","A Deaton","NBER Working Paper, 1987","3","1987"
"Household Surveys and Policy Reform: Cocoa and Coffee in the Cote d'Ivoire","A Deaton, D Benjamin","Research Program in Development Studies, Woodrow Wilson School, Princeton …, 1987","3","1987"
"Deaths of Despair and the Future of Capitalism","A Case, A Deaton","Princeton University Press, 2020","2","2020"
"Reply to Schmid, Snyder, and Gelman and Auerbach: Correlates of the increase in white non-Hispanic midlife mortality in the 21st century","A Case, A Deaton","Proceedings of the National Academy of Sciences 113 (7), E818-E819, 2016","2","2016"
"Aid and Politics","A Deaton","Introductory Chapters, 2015","2","2015"
"<U+7ECF><U+6D4E><U+5B66><U+4E0E><U+6D88><U+8D39><U+8005><U+884C><U+4E3A>","<U+8FEA><U+987F>","<U+4E2D><U+56FD><U+4EBA><U+6C11><U+5927><U+5B66><U+51FA><U+7248><U+793E>, 2015","2","2015"
"American hubris, African nemesis","A Deaton","The Lancet 383 (9914), 297-298, 2014","2","2014"
"Reshaping the World: The 2005 Round of the International Comparison Program","A Deaton","Measuring the size of the world economy: the framework, methodology, and …, 2011","2","2011"
"Health and Well-Being around the World: Evidence from the Gallup World Poll","A Deaton, A Income","NBER Working Paper, 2007","2","2007"
"Poverty PPPs for Latin America and Asia","A Deaton, O Dupriez","mimeo, Development Data Group, World Bank, 2007","2","2007"
"Broken down by work and sex","A Case, A Deaton","Analyses in the Economics of Aging, 2005","2","2005"
"<U+7ECF><U+6D4E><U+5B66><U+4E0E><U+6D88><U+8D39><U+8005><U+884C><U+4E3A>: Economics and consumer behavior","A Deaton","<U+4E2D><U+56FD><U+4EBA><U+6C11><U+5927><U+5B66><U+51FA><U+7248><U+793E>, 2005","2","2005"
"Measuring poverty in a growing world (or measuring growth in a poor world)”, NBER Working Paper 9822","A Deaton","","2","2003"
"Policy ImplicationsOfThe Gradient Of HealthAnd Wealth","A Deaton","Health Affairs. March/April, 2002","2","2002"
"Calcutta","R Chattopadhyay, E Duflo, WTD Acemoglu, A Banerjee, MG Dastidar, ...","","2","2001"
"Designing Household Survey Questionnaires for Developing Countries Lessons from Ten Years of LSMS Experience, Chapter 17: Consumption","A Deaton, M Grosh","Princeton University, Woodrow Wilson School of Public and International …, 1998","2","1998"
"Estimating a Nonlinear Rational Expectations Model with Unobservable State Variables","AS Deaton","","2","1994"
"The Macroeconomics amd Macroeconomics of the Permanent Income Hypothesis","A Deaton","Banca Italia-Servizio di Studi Papers, 1992","2","1992"
"2 Reflections on Empirical Microeconomics","AS Deaton","Economic Record 65 (1), 73-76, 1989","2","1989"
"Life-cycle models of consumption","A Deaton","National Bureau of Economic Research, 1986","2","1986"
"Collecting panel data in developing countries: Does it make sense?","A Deaton, G Solon","World Bank, 1986","2","1986"
"The demand for personal travel in developing countries: pricing and policy analysis.","A Deaton","The demand for personal travel in developing countries: pricing and policy …, 1984","2","1984"
"Personal Consumption","AS Deaton","Economic Structure and Policy, 89-105, 1976","2","1976"
"Inflation, Growth, and Economic Policy in the Medium-Term","TS Barker, VH Woodward","National Institute Economic Review 60 (1), 37-55, 1972","2","1972"
"Why are Mortality Rates Rising for Middle-Aged White Non-Hispanic Americans? Could it Happen in Europe?","A Case, A Deaton","Monographs, 2018","1","2018"
"Interview with 2015 Laureate in Economic Sciences Angus Deaton","A Deaton","Nobel Prize Committee, 2015","1","2015"
"Ageing 4 Subjective wellbeing, health, and ageing","A Steptoe, A Deaton, AA Stone","","1","2014"
"Grandpa and the snapper","A Deaton, AA Stone","Discoveries in the Economics of Aging 283, 2014","1","2014"
"American Economic Journal","E Nakamura, D SERGEYEV, JÓN STEINSSON, F COLLARD, H DELLAS, ...","Macroeconomics 5, 35, 2013","1","2013"
"ECONOMIC LITERATURE","JE Aldy, AJ Krupnick, RG Newell, IWH Parry, WA Pizer, D Dranove, GZ Jin, ...","Journal of Economic Literature 48 (4), 2010","1","2010"
"Equity and population health","A Deaton","","1","2006"
"Measuring poverty","A Deaton","QA-Rivista dell'Associazione Rossi-Doria, 2005","1","2005"
"American Economic Association","DW Jorgenson","The American Economic Review 91 (1), 1-32, 2001","1","2001"
"Healthy ageing--focus on gender differences.","K Chung","People and Development Challenges 6 (11), 14-8, 1999","1","1999"
"On urban versus rural poverty in India","A Deaton, C Paxson","Research Program in Development Studies, Princeton University, 1995","1","1995"
"The Price of Power: Commodity Pricesand PoliticalSurvival in Africa","A Deaton","","1","1993"
"The microeconomics and macroeconomics of the permanent income hypothesis","A Deaton","Banca d'Italia, 1992","1","1992"
"Household behavior in developing countries: the first simon kuznets memorial lecture","A Deaton","Yale University, 1988","1","1988"
"American Economic Association","PA Diamond, MS FELDSTEIN, J EATON, J SHOVEN, JJ SIEGFRIED, ...","The American Economic Review 55 (5  Part 1), 1126-1150, 1965","1","1965"
"American Economic Journal","A DEATON, A HESTON, E DIEWERT, M RAVALLION, G KAPLAN, ...","","1",""
"Replication data for: Understanding PPPs and PPP-Based National Accounts","A Deaton, A Heston","Inter-university Consortium for Political and Social Research (ICPSR), 2019","","2019"
"Replication data for: Creative Destruction and Subjective Well-Being","P Aghion, U Akcigit, A Deaton, A Roulet","Inter-university Consortium for Political and Social Research (ICPSR), 2019","","2019"
"Protective Discrimination: Why Scheduled Tribes Lag behind Scheduled Castes","BB Mohanty, S Acharya, VG Panwalkar, B Agarwal, B Agarwal, B Agarwal, ...","Agrarian Transformation in Western India: Economic Gains and Social Costs 19 …, 2019","","2019"
"Wage-Law Enforcer Favours Proactive Approach","J Powers, V Khanna, D Acemoglu, D Autor, D Dorn, GH Hanson, B Price, ...","The Future of the Economy: East–West Perspectives on Pathways Through …, 2019","","2019"
"Back Matter: Code appendix, Bibliography, Subject and Author Indexes","A Deaton","","","2019"
"Looking at price and tax reform","A Deaton","","","2019"
"Progress on Sanitation and Drinking Water 2015 Update and MDG Assessment. WHO/UNICEF","MC Rousu, D Acemoglu, S Johnson, S Adams, S Adams, J Adamy, ...","Broadway and Economics: Economic Lessons from Show Tunes 113 (5), 1-1, 2018","","2018"
"Where in the world is the world heading?","A Deaton","Journal of policy modeling 39 (4), 603, 2017","","2017"
"Has Competition Lowered Prices?","S Folland, AC Goodman, M Stano, R Aaberge, HJ Aaron, TA Abbott, ...","The Economics of Health and Health Care 94 (6), xxiii-xxvi, 2017","","2017"
"THE CRISIS OF THE MIDDLE-CLASS CONSTITUTION Why Economic inequality Threatens Our Republic","A Deaton","NEW YORK TIMES BOOK REVIEW 122 (13), 1-+, 2017","","2017"
"olume 68","A Deaton, AA Stone, RE Lucas, S Oishi, E Diener, E Cannon, GP Cipriani, ...","Oxford Economic Papers 68 (4), 2016","","2016"
"What we know about context effects in self-report surveys of well-being: comment on Deaton and Stone Response","A Deaton, AA Stone","OXFORD ECONOMIC PAPERS-NEW SERIES 68 (4), 877-878, 2016","","2016"
"Survey Data: Extensions","A Deaton","Issues in Contemporary Economics: Volume 2: Macroeconomics and Econometrics, 253, 2016","","2016"
"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel, 2015","A Deaton","SCANDINAVIAN JOURNAL OF ECONOMICS 118 (3), 373-374, 2016","","2016"
"Response to Lucas, Oishi, and Diener","A Deaton, AA Stone","Oxford Economic Papers 68 (4), 877-878, 2016","","2016"
"Testosterone across Successive Competitions: Evidence for a Winner Effect in Humans?","R Agnew, S Alberts, JC Buchan, J Altmann, A Alesina, E Glaeser, ...","Killing the Competition: Economic Inequality and Homicide 30 (2), 1-18, 2016","","2016"
"17 Long-term Projections of","AS Deaton","Methods of Long-Term Planning and Forecasting, 368, 2015","","2015"
"Can Money Buy You Happiness?","A Deaton","Nobel Prize Committee, 2015","","2015"
"The Great Escape: Health, Wealth, and the Origins of Inequality","MLV Maggio","Investigación Económica 74 (294), 173-178, 2015","","2015"
"Urban agriculture, poverty, and food security: Empirical evidence from a sample of developing countries","G Carletto, M Ruel, P Winters, A Zezza, African Union, MA Aksoy, ...","The Journal of Development Studies 51 (8), 945-957, 2015","","2015"
"Lady Mary Crawley, meet Dr Steven Corwin","A Deaton","The Lancet 385 (9982), 2035-2036, 2015","","2015"
"Biographical","A Deaton","Nobel Prize in Economics documents, 2015","","2015"
"Premio Nobel de Economía 2015. Angus Deaton","EA García, CM Bustamante","Boletín económico de ICE, Información Comercial Española, 17-26, 2015","","2015"
"Life and Death in the Enlightenment","A Deaton","Introductory Chapters, 2015","","2015"
"Factor Immobility and Regional Impacts of Trade Liberalization: Evidence on Poverty from India","M Calì, K Anderson, M Kurzweil, W Martin, D Sandri, E Valenzuela, ...","World Bank 93 (11–12), 93-135, 2014","","2014"
"The Great Escape: Health, Wealth, and the Origins of Inequality","WR Keech","The Independent Review 19 (2), 302-305, 2014","","2014"
"In 100 Years: Leading Economists Predict the Future","D Acemoglu, A Deaton, AK Dixit, EL Glaeser, A Mas-Colell, J Roemer, ...","MIT Press, 2014","","2014"
"Introduction and Key Tables from: Services Liberalization in Preferential Trade Arrangements: The Case of Kenya","EJ Balistreri, DG Tarr","APPLIED TRADE POLICY MODELING IN 16 COUNTRIES: Insights and Impacts from …, 2014","","2014"
"PPP Exchange Rates for the Global Poor","AS Deaton, O Dupriez","","","2013"
"Unequal Economic Development in China: Spatial Disparities and Regional Policy Reconsideration, 1985-1995","MS Ahluwalia, MS Ahluwalia, A Krueger, L Alfaro, A Chanda, ...","Economic Growth and Income Inequality in China, India and Singapore Trends …, 2013","","2013"
"Reshaping the World","A Deaton","Measuring the Real Size of the World Economy, World Bank, Washington DC …, 2013","","2013"
"Two happiness puzzles","AA Stone, A Deaton","Princeton University, Woodrow Wilson School of Public and International …, 2013","","2013"
"The President’s ‘new’constituency: Lula and the pragmatic vote in Brazil’s 2006 Presidential Elections","P Abrams, B Agarwal, B Agarwal, MS Ahluwalia, Y Alagh, B Andía-Pérez, ...","Transformative Policy for Poor Women: A New Feminist Framework 1 (1), 1-16, 2012","","2012"
"American Economic Association","O Ashenfelter, A Krueger","The American Economic Review 102 (2), 617-642, 2012","","2012"
"Happiness puzzles","A Deaton, A Stone","","","2012"
"Letter to the Editor: Well controls in case-control studies","W Lee, J Bindman, T Ford, N Glozier, P Moran, R Stewart, M Hotopf","Psychological medicine 42 (1), 216-217, 2012","","2012"
"Social Psychology Coaches Methuselah","A Deaton","Health Affairs 30 (9), 1804, 2011","","2011"
"Attendance list","I Almas, B Balk, J Bolt, N Bos, G Dan, A Deaton, R Feenstra, R Gouma, ...","","","2011"
"Using unit-values to assess spatial price differences","A Deaton, O Dupriez","","","2011"
"Calis, JCJ, 347 Campbell, JY, 97 Case, A., 351, 352, 357n3, 370n8 Cattell, RB, 211","H Aaron, JT Abaluck, JH Abbring, J Ameriks, C Azzi, PB Bach, LC Baker, ...","Explorations in the Economics of Aging, 381, 2011","","2011"
"Committee on Government Relations","A Deaton, C Eckel","","","2010"
"Measure for Measure","M Aglietta","How well do we measure development, 2010","","2010"
"Committee on Government Relations","KG Abraham","American Economic Review 100 (2), 715-17, 2010","","2010"
"Are economists human?","AS Deaton","The Lancet 374 (9701), 1585-1586, 2009","","2009"
"Cooper, Ian, 333, 344 Cordes, Joseph J., 306, 308 Cox, J., 347 David, M., 70","J Davies, G Auten, M Bailey, R Ball, CL Ballard, R Barro, ER Berndt, ...","The Effects of Taxation on Capital Accumulation, 485, 2009","","2009"
"Front_Matter (pp. i-Vii)","A Deaton","American Economic Review 99 (2), 2009","","2009"
"Development Economics through the Decades","T Ito, K Dervis, W Easterly, S Yusuf, A Deaton, JE Stiglitz","Washington, DC: World Bank, 2009","","2009"
"Papers and Proceedings of the One Hundred Twenty-First Annual Meeting of the American Economic Association: Foreword","A Deaton","American Economic Review 99 (2), 1-1, 2009","","2009"
"Mortalidad infantil, riqueza y estatura adulta de las poblaciones:(Resumen del trabajo"" Adult Height and Childhood Disease"", de próxima aparición en Demography","C Bozzoli, A Deaton, C Quintana-Domeque","Economía y salud: boletín informativo 22 (65), 8-10, 2009","","2009"
"Hall, Arden, 259 Hanoch, G., 231 Hansen, LP, 343 Harris, Milton, 293 385","C Ai, X Amemiya, KH Anderson, AJ Auerbach, GS Becker, JC Beresford, ...","Issues in the Economics of Aging, 385, 2008","","2008"
"Connelly, Rachel, 106, 124 Cordes, Joseph J., 194n4, 213n33 Coutts, Elisabeth, 211n30 Coven, Glenn E., 217n41 Damato, Kara, 223n50, 224","G Auten, R Bahl, K Beron, D Blau, AP Blostin, R Blundell, B Bosworth, ...","Empirical Foundations of Household Taxation, 281, 2008","","2008"
"Abbott, PC 94 Adams, Darius M., 351, 355 Alaouze, CM, 94 Audretsch, David B., 324","BY Aw, B Balassa, C Balassa, RE Baldwin, DA Belsley, BC Fred, ...","Trade Policy Issues and Empirical Analysis, 373, 2008","","2008"
"Evans, William N., 162n2 Ewbank, Douglas C, 171 Fischer, Stanley, 62 Fuchs, Victor R., 109 Fukao, Mitsuhito, 217n3","E Ahonzo, M Ainsworth, T Amemiya, TW Anderson, E Andrews, N Atoda, ...","Topics in the Economics of Aging, 307, 2008","","2008"
"Axel Borsch-Supan Universitat Mannheim Postfach 10 34 62 Gebaude A5, 6 6800 Mannheim 1, Germany","A Deaton, AM Garber, PJ Gertler, J Gokhale, V Hajivassiliou, F Hayashi, ...","Topics in the Economics of Aging, 305, 2008","","2008"
"Economics and the Price Index. Routledge Frontiers of Political Economy","C Milana","Taylor & Francis, 2008","","2008"
"How to spend $50 billion to make the world a better place","A Deaton","JOURNAL OF ECONOMIC LITERATURE 45 (4), 1046-1048, 2007","","2007"
"How to Spend $50 Billion to Make the World a Better Place","A Banerjee, A Deaton, E Duflo","Journal of Economic Literature 45 (4), 1044-1049, 2007","","2007"
"John Ausink 1200 Crystal Drive,# 1114 Arlington, VA 22203 Axel Borsch-Supan Department of Economics","AS Deaton","Advances in the Economics of Aging, 343, 2007","","2007"
"Udaipur Health Study","A Banerjee, A Deaton, E Duflo","","","2007"
"Bureau for Research and Economic Analysis of Development","MM Sector","","","2007"
"Income Transfers and Assets of the Poor","M Schreiner, M Sherraden, HJ Aaron, B Ackerman, A Alstott, DW Adams, ...","Can the Poor Save? Saving & Asset Building in Individual Development …, 2007","","2007"
"European Central Bank and the Euro","M Dutta","European Union and the Euro Revolution, 85-115, 2007","","2007"
"The great escape: A review of Robert Fogel's The escape from hunger and premature death, 1700-2100 (vol 44, pg 106, 2006)","A Deaton, R Fogel","JOURNAL OF ECONOMIC LITERATURE 45 (1), 2-2, 2007","","2007"
"Launch of WIDER Study on The World Distribution of Household Wealth","A Deaton, MC Center, E Hall","","","2006"
"Equity and population health","D Angus","The Hastings Center Report 36 (5), 5-7, 2006","","2006"
"Minutes of the Executive Committee Meetings","JJ Siegfried","American Economic Review 96 (2), 479-489, 2006","","2006"
"Report of the Representative to the International Economic Association","J Eaton","American Economic Review 95 (2), 520-520, 2005","","2005"
"Part II Equitable Public Action in the Domestic Arena: Broadening Opportunities","A Bebbington, S Chen, K Hoff, J Lanjouw, A Revenga, X del Carpio, ...","","","2005"
"Initiative for Policy Dialogue Working Paper Series","A Deaton","The Review of Economics and Statistics 87 (1), 1-19, 2005","","2005"
"Livelihoods under climate variability and change: An analysis of the adaptive capacity of rural poor to water scarcity in Kenya's drylands.","S Abdelhak, J Sulaiman, S Mohd, AD Abernethy, HT Chang, L Seidlitz, ...","Trends in Applied Sciences Research 7 (4), 456-463, 2002","","2002"
"Tº paper is concerned with the empirical behavior of commodity prices—in particular, changes in the variability of commodity prices and in the trend growth of prices over time …","A Deaton","IMF Staff Papers 49 (2), 175, 2002","","2002"
"The Center for Health and Wellbeing","A Deaton, D Lubotsky","","","2001"
"The Center for Health and Wellbeing and The Research Program in Development Studies","A Deaton, D Lubotsky","","","2001"
"riefs","A Deaton, D Lubotsky","","","2001"
"MSA definitions used in","A Deaton, D Lubotsky","Atlantic 2300, 3000, 2001","","2001"
"CMH Working Paper Series","A Deaton","","","2001"
"The changing wealth of nations.","AQA Amin, F Ahmed, GM Alam, MN Azam, WM Adams, M Ahmed, ...","Asian Journal of Earth Sciences 8 (1), Pages: 480-Pages: 480, 2001","","2001"
"Numerical Problems in Thermodynamics and Kinetics of Chemical Processes, Wronski Stanistam, Pohorecki Ryszard, Siwinski Jacek, Begell House Ind (1998), 415 pp, $99, ISBN 1 …","AS McLeod","Chemical Engineering Research and Design 79 (1), 106-107, 2001","","2001"
"Constantinides, George, 110, 440, 471 Cox, John, 468 Crane, Dwight B „94n7, 292nl, 297nl0, 319 Cutler, David, 218n23, 234","AS Deaton, G Debreu, JB Donaldson, D Duffle, W Enders, LG Epstein, ...","Risk aspects of investment-based social security reform 43, 487, 2001","","2001"
"Factors affecting infant mortality rates: evidence from cross-sectional data.","A Feizi, A Kazemnejad, G Babaee, S Agha, FA Akala, S El-Saharty, ...","Journal of Applied Sciences 12 (2), 199-208, 2000","","2000"
"Regional Inequality and the Process of National Development: A Description of the Patterns","EA Haddad, EA Haddad, PD Adams, PB Dixon, I Adelman, S Robinson, ...","Regional Inequality and Structural Changes: Lessons from the Brazilian …, 1999","","1999"
"L iquid it y C onstraints, H eterogeneous C onsumersand","A Michaelides","","","1999"
"Gabrisch, Hubert xii, xix, 147 Giovannini, A. 63, 92 Girard, J. 112, 115 Goodwin, BK 24","P Guidotti, A Bhaduri, J Bhagwati, P Bod, JC Brada, F Breuss, G Calvo, ...","EU Enlargement and its Macroeconomic Effects in Eastern Europe: Currencies …, 1999","","1999"
"'The Distance Function in Consumer Behaviour with Applications to Index Numbers and Optimal Taxation', Review of Economic Studies, XLVI (3/144), 391-405","A Deaton","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 107, 57-71, 1999","","1999"
"Bradley, I. 40 Bronfenbrenner, M. 203, 206 Brown, A. 206 Brueckner, AL 168","JE Cairnes, A Assiter, M Baranzini, P Bardhan, A Barten, K Basu, ...","Critical Realism in Economics: Development and Debate 12, 259, 1999","","1999"
"'On the Behaviour of Commodity Prices', Review of Economic Studies, 59, 1-23","A Deaton, G Laroque","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 105, 208-230, 1999","","1999"
"Black, M. 100","W Adriaansen, L Ahnstrom, M Allais, M Aoki, M Archer, P Arestis, ...","Critical Realism in Economics: Development and Debate, 259, 1998","","1998"
"DEATON: Stata modules to analyze household surveys","A Deaton","Boston College Department of Economics, 1998","","1998"
"Journal of Agricultural Economics","P Zong, J Davis, M Abbott, O Ashenfelter, I Adelman, JE Taylor, ...","Economics of Marketable Surplus Supply: A theoretical and empirical analysis …, 1998","","1998"
"A Reconsideration of the Empirical Implications of Additive Preferences, Economic Journal, 84 (334), June, 338-48","A Deaton","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 100, 238-250, 1998","","1998"
"Ito, T. 128","A Deaton, S Dimeli, P Doeringer, D Donaldson, J Dupre, D Doring, ...","Changing patterns in the distribution of economic welfare: an international …, 1997","","1997"
"Diminishing Returns to Scale in Family Planning Expenditures: Thailand, 1976-1981","TA Sussangkarn, C Myers, M Ainsworth, A Deaton, P Donaldson, ...","","","1997"
"a microeconometric approach to development policy. The analysis of household surveys","A Deaton","Washington, DC, 1997","","1997"
"Dani Rodrik “The Past, Present, and Future of Economic Growth” Global Citizens Foundation, Working Paper 1, 2013. Lant Pritchett “Divergence, Big Time.” Journal of Economic …","A Banerjee, E Duflo, I Morris, A Deaton","Journal of Economic Perspectives 11, 3, 1997","","1997"
"[Unemployment Expectations, Jumping (S, s) Triggers, and Household Balance Sheets]: Comment","A Deaton","NBER Macroeconomics Annual 12, 217-220, 1997","","1997"
"Large Cash Transfers to the Elderly in South Afrika: Tabellen","A Case, A Deaton","NBER, 1996","","1996"
"Understanding Consumption","MJ Alhabeeb","The Journal of Consumer Affairs 28 (1), 201-203, 1994","","1994"
"[BOOK REVIEW] Understanding consumption","A Deaton","Southern Economic Journal 60 (4), 1069-1070, 1994","","1994"
"Economic Planning Board, South Korea, 201t Economist, 111 Emerson, M., 5 Ethier, W., lnl","RE Evenson, L Brainard, JW Brock, M Bronkers, RE Caves, SC Chiang, ...","Empirical studies of strategic trade policy 111, 237, 1994","","1994"
"commodity prices and political survival in Africa","A Deaton","","","1993"
